0	6149,6403
0	6145
0	
0	6149,6403,6915,7425,7937
0	6145,6149,6403
0	6145,6147,6149,6401,6403
0	6145,6147,6149,6401,6403,6915,7425,7937
0	6145,6147,6401,7425,7937
0	
0	6147,6401,6915,7425,7937
0	6145,6149,6403,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6149,6401,6403,6915,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6145,6149,6403,6915
0	6145,6147,6401
0	6149,6403,6915
0	
0	6145,6149,6403,6915,7425,7937
0	6145,6149,6403,7425,7937
0	6145,6147,6149,6401,6403,6915,7425,7937
0	6145,6149,6403,6915
0	6149,6403,6915
0	6145,6149,6403,6915,7425,7937
0	6147,6401
0	6149,6403,6915
0	6147,6401
0	6145,6147,6401,7425,7937
0	6145,6149,6403,6915
0	6145,6149,6403,6915
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6149,6403,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6149,6403
0	6147,6401
0	6147,6401,7425,7937
0	6657,6915
0	6147,6401,6915,7425,7937
0	6915,7425,7937
0	6915,7425,7937
0	6145,6915,7425,7937
0	6147,6401
0	7425,7937
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6145,6915,7425,7937
0	6147,6401,6915,7425,7937
0	7425,7937
0	6147,6401,6915
0	6145,6147,6401,6915
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401,6915,7425,7937
0	6915
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401
0	6145,6147,6401
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401
0	6145,6147,6401
0	6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6147,6401
0	6147,6401
0	6147,6401,6915
0	6147,6401
0	6145,6147,6401
0	6145,6147,6401
0	6145,6147,6401
0	6657,6915
0	6147,6149,6401,6403,6915,7425,7937
0	6145,6915
0	6147,6401,7425,7937
0	7425,7937
0	6147,6401,7425,7937
0	7425,7937
0	6915,7425,7937
0	
0	7425,7937
0	6915
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401
0	6147,6401,6915
0	6147,6401
0	6147,6401,7425,7937
0	7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401,7425,7937
0	6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401,6915
0	6147,6401
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401
0	6147,6401
0	6145,6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401
0	6145,6147,6401
0	6147,6401
0	6657,6915
0	7425,7937
0	6915
0	7425,7937
0	6147,6401,7425,7937
0	6915
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6915,7425,7937
0	7425,7937
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401,6915
0	6915,7425,7937
0	7425,7937
0	6145
0	
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401,6915
0	6915
0	6145,6147,6401
0	6147,6401,6915
0	7425,7937
0	6145,6147,6401,6915
0	6147,6401
0	6147,6401,6915,7425,7937
0	6145,6915
0	6145,6147,6401,6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401
0	6147,6401,6915
0	6145
0	6145,6147,6401,6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401,6915
0	6147,6401,6915
0	6145,6147,6401
0	6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6915,7425,7937
0	
0	6147,6401,6915
0	6145,6147,6401
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401
0	6147,6401,6915
0	6145,6147,6401
0	6145,6147,6401
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401
0	6145,6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401,6915
0	6147,6401,7425,7937
0	6145,6147,6401,6915
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401
0	6147,6401,6915
0	6145,6147,6401
0	6147,6401,7425,7937
0	
0	6147,6401
0	6147,6401
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6147,6401,6915
0	
0	7425,7937
0	6145,6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	
0	6145,6915,7425,7937
0	6147,6401,7425,7937
0	6915,7425,7937
0	7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401
0	6145,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401,7425,7937
0	6145,6147,6401,6915
0	6145,7425,7937
0	6147,6401,6915
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6915
0	6145,6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6147,6401,6915
0	6145,6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401
0	6915
0	6147,6401
0	6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401,7425,7937
0	6915,7425,7937
0	6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401,6915
0	6145,6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401
0	6145,6147,6401,6915
0	6147,6401,6915
0	6147,6401
0	6145,6147,6401,6915
0	6147,6401
0	6145,6147,6401,6915
0	6145,6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	7425,7937
0	6915,7425,7937
0	6915
0	6915,7425,7937
0	6657,6915
0	6147,6401,6915,7425,7937
0	
0	6145,6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6915
0	6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6145
0	7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	7425,7937
0	6915,7425,7937
0	6145,6147,6401,6915
0	7425,7937
0	6147,6401,6915,7425,7937
0	6915
0	6915
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6145,6915
0	6145,6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401,6915
0	6147,6401
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6915,7425,7937
0	6915,7425,7937
0	7425,7937
0	7425,7937
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6915
0	6145,6147,6401,6915
0	6147,6401,6915
0	7425,7937
0	6145,6915
0	6147,6401,6915,7425,7937
0	6145
0	6915
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6915,7425,7937
0	6915,7425,7937
0	6147,6401,7425,7937
0	6915
0	6147,6401,6915,7425,7937
0	6147,6401
0	6145,6147,6401,7425,7937
0	6145,6147,6401,6915
0	6145,6147,6401
0	6145,6147,6401,6915
0	6145,6147,6401,6915,7425,7937
0	6915
0	6147,6401,6915,7425,7937
0	6147,6401
0	6147,6401
0	6915
0	6147,6401,6915,7425,7937
0	6915,7425,7937
0	6915,7425,7937
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915
0	6147,6401
0	6915,7425,7937
0	6145,6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401
0	6147,6401,6915
0	6915
0	6915,7425,7937
0	6147,6401,6915
0	6915,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6915,7425,7937
0	6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6145,6915,7425,7937
0	6915
0	6147,6401,6915
0	6145,7425,7937
0	6915,7425,7937
0	6145,6915,7425,7937
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401
0	6145,6147,6401
0	6145,6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401
0	6915,7425,7937
0	6147,6401,6915
0	6915,7425,7937
0	6147,6401,6915
0	6915
0	6145,6915,7425,7937
0	6147,6401,6915
0	6147,6401
0	6145,6915,7425,7937
0	7425,7937
0	6915,7425,7937
0	6147,6401,6915,7425,7937
0	6915
0	6147,6401,6915
0	6915,7425,7937
0	7425,7937
0	6147,6401,6915,7425,7937
0	7425,7937
0	6147,6401,6915,7425,7937
0	6915,7425,7937
0	6147,6401,7425,7937
0	6915
0	7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	7425,7937
0	6145,7425,7937
0	6915,7425,7937
0	6145,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401
0	6145,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401,6915,7425,7937
0	6145,6915
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	7425,7937
0	6147,6401,6915
0	6915
0	6145,6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401
0	6145,6147,6401,6915
0	7425,7937
0	6915
0	6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401
0	6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915
0	6915
0	7425,7937
0	6915,7425,7937
0	6915,7425,7937
0	6915
0	6915,7425,7937
0	6915
0	6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401,7425,7937
0	6147,6401,6915
0	6915
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401,6915
0	6147,6401,6915
0	6147,6401,6915
0	6145,6147,6401,6915
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401
0	6915
0	6147,6401,6915,7425,7937
0	6915
0	6147,6401,6915
0	6147,6401
0	6147,6401
0	6145,6147,6401,7425,7937
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915
0	6145,6147,6401
0	6145,6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6145,6147,6401,6915
0	6147,6401,7425,7937
0	6145,6915,7425,7937
0	6915,7425,7937
0	6147,6401
0	6147,6401,6915
0	6147,6401
0	6915,7425,7937
0	6145,6147,6401
0	6145,6147,6401,6915,7425,7937
0	6145,6915
0	6145,6147,6401,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6915,7425,7937
0	6145,6147,6401
0	6147,6401
0	6147,6401
0	6147,6401,6915
0	6145,6147,6401
0	6915,7425,7937
0	6145,6915,7425,7937
0	6147,6401
0	6147,6401
0	6147,6401
0	6145,6915,7425,7937
0	
0	7425,7937
0	6147,6401,6915,7425,7937
0	6145
0	6915,7425,7937
0	7425,7937
0	7425,7937
0	6147,6401,7425,7937
0	6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	
0	6145,6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6147,6401
0	6915
0	6915,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6915
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	7425,7937
0	6147,6401,6915,7425,7937
0	6145,6915
0	6147,6401,6915
0	6145
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6145,6147,6401,6915,7425,7937
0	6145,6915
0	6147,6401
0	6145
0	7425,7937
0	6145,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401,6915
0	6145,6915
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6145
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6145,7425,7937
0	6145,6147,6401,7425,7937
0	6145
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6915
0	6145,6147,6401
0	
0	6145,6147,6401
0	6147,6401
0	6145,6147,6401,7425,7937
0	6915,7425,7937
0	6915
0	6145,6147,6401,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6915
0	6145,6147,6401,7425,7937
0	6147,6401
0	6915
0	6147,6401,6915
0	7425,7937
0	6145,6147,6401,6915
0	6147,6401,6915,7425,7937
0	6915
0	6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6147,6401
0	6145,6915,7425,7937
0	6147,6401,6915
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401
0	
0	6145,6147,6401,6915,7425,7937
0	6145,6915
0	6145,6915,7425,7937
0	6147,6401
0	6145,6147,6401
0	6147,6401,6915
0	6145,6147,6401
0	6915,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401,6915
0	6145,6147,6401
0	6145,6915,7425,7937
0	6147,6401
0	
0	6145,6147,6401,7425,7937
0	6147,6401
0	6915
0	6147,6401,6915
0	6915,7425,7937
0	6147,6401
0	7425,7937
0	6145,6147,6401,6915
0	6147,6401
0	6915,7425,7937
0	6915,7425,7937
0	6145,6915
0	6145,6147,6401,6915,7425,7937
0	6145,6147,6401,7425,7937
0	6145,6915,7425,7937
0	6915,7425,7937
0	6145,6147,6401
0	6147,6401
0	6145,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6915,7425,7937
0	6915,7425,7937
0	6915,7425,7937
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6915,7425,7937
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6147,6401,6657,7425,7937
0	6145,6147,6401,6915
0	7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6915
0	6147,6401,7425,7937
0	6147,6401
0	6147,6401
0	6145,6147,6401
0	7425,7937
0	6147,6401,6915
0	6145,6147,6401,6915,7425,7937
0	6145,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915
0	6145,6147,6401
0	6147,6401,7425,7937
0	
0	6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401
0	6915
0	6915,7425,7937
0	6915,7425,7937
0	6147,6401
0	6915
0	6145
0	7425,7937
0	6915
0	6147,6401,6915
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6145,7425,7937
0	6145,7425,7937
0	
0	6145,7425,7937
0	6915
0	
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6915,7425,7937
0	6147,6401,7425,7937
0	6915,7425,7937
0	7425,7937
0	6145,6915,7425,7937
0	6147,6401
0	6145,6147,6401,6915,7425,7937
0	6915
0	
0	6145
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6145,6915,7425,7937
0	
0	7425,7937
0	6915
0	
0	6145,6147,6401,6915
0	6145
0	6145,6915,7425,7937
0	6147,6401,6915
0	6145
0	6145,7425,7937
0	6147,6401
0	6147,6401
0	6145
0	6147,6401,6915
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	6915
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6145,6915
0	6145,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6915
0	
0	6147,6401
0	6145,7425,7937
0	6915,7425,7937
0	6145,6147,6401
0	6145,6915,7425,7937
0	6147,6401
0	6145,6915,7425,7937
0	6145,6147,6401
0	7425,7937
0	6145,6915
0	7425,7937
0	6147,6401
0	7425,7937
0	6147,6401,6915
0	6147,6401,6915,7425,7937
0	6145,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915
0	6145,7425,7937
0	6147,6401,6915
0	6145,6915
0	6145,6915
0	6915
0	6915
0	6147,6401
0	6145,6147,6401
0	6147,6401,6915
0	
0	7425,7937
0	
0	6145,6147,6401,6915
0	6145,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401,7425,7937
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6145
0	6145,6147,6401,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401
0	6145,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	6145,6147,6401
0	6145,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6147,6401
0	6145,7425,7937
0	6915
0	6915
0	6147,6401
0	7425,7937
0	6147,6401
0	6915
0	
0	6147,6401,6915,7425,7937
0	
0	7425,7937
0	7425,7937
0	7425,7937
0	6145,7425,7937
0	6145,6915
0	6145
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6145,7425,7937
0	6147,6401,7425,7937
0	6147,6401
0	6145
0	7425,7937
0	6145,6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6915
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401
0	6915,7425,7937
0	6145,6147,6401,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6145,7425,7937
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6915,7425,7937
0	6145,6915
0	6147,6401
0	6147,6401,7425,7937
0	6915,7425,7937
0	6915
0	6145,6915
0	6147,6401,6915
0	6915,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6145,6915
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	7425,7937
0	6147,6401
0	6145
0	6147,6401,7425,7937
0	7425,7937
0	6145,7425,7937
0	6915,7425,7937
0	6145,6915
0	6145,6915,7425,7937
0	6147,6401,7425,7937
0	
0	7425,7937
0	6915,7425,7937
0	6147,6401
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	7425,7937
0	6145,6915
0	6145,6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6145,6915,7425,7937
0	6145
0	
0	6147,6401
0	6147,6401,7425,7937
0	6145
0	6145,6915,7425,7937
0	6147,6401
0	6145,6915,7425,7937
0	6147,6401
0	6145,6915,7425,7937
0	6915,7425,7937
0	6147,6401
0	6147,6401,7425,7937
0	6145
0	6145,7425,7937
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915
0	6145,6147,6401,7425,7937
0	6145,7425,7937
0	6145,7425,7937
0	6145,6147,6401
0	6147,6401
0	6147,6401,7425,7937
0	6145,6147,6401
0	6145,7425,7937
0	6145,7425,7937
0	6145,7425,7937
0	6145,6915
0	6915,7425,7937
0	6147,6401,6915
0	7425,7937
0	6145
0	6147,6401
0	6147,6401,6915
0	6147,6401,7425,7937
0	6145,6147,6401
0	6145,6915
0	6147,6401,6915
0	6147,6401
0	6145
0	6147,6401,6915
0	6145,6915
0	6915
0	6145,7425,7937
0	6915
0	6915,7425,7937
0	6145,7425,7937
0	6147,6401
0	6147,6401,6915
0	6145,6147,6401
0	6915,7425,7937
0	6145
0	6145,6147,6401
0	6147,6401,7425,7937
0	6915
0	7425,7937
0	6145,7425,7937
0	6145,7425,7937
0	6147,6401,6915
0	6145,6147,6401,6915
0	7425,7937
0	6145,6147,6401,6915
0	6147,6401,6915
0	7425,7937
0	6915
0	6147,6401
0	6145
0	6145,6915
0	6147,6401,6915,7425,7937
0	6915,7425,7937
0	6145,6147,6401,6915
0	6145,6147,6401
0	6147,6401
0	6145,6147,6401,6915
0	6147,6401,6915
0	6147,6401,7425,7937
0	7425,7937
0	6915
0	6145,6147,6401,7425,7937
0	6147,6401,7425,7937
0	
0	6147,6401,6915
0	6147,6401,6915
0	6915
0	6147,6401
0	6147,6401
0	6145,6915,7425,7937
0	6145,6147,6401,6915
0	6147,6401,6915
0	
0	6145,6147,6401
0	6145,6915
0	6145,6147,6401
0	6145,6147,6401
0	6147,6401,6915
0	6147,6401
0	6145,6915
0	6915,7425,7937
0	6145,6147,6401,6915
0	6145,6147,6401
0	6915
0	6147,6401
0	6145,6915,7425,7937
0	7425,7937
0	6145,6147,6401,6915
0	6915
0	6147,6401
0	6147,6401,6915
0	6147,6401,6915
0	6145,6147,6401
0	6145,6147,6401
0	6145,6147,6401
0	6145
0	6147,6401
0	6145,6915
0	6147,6401
0	6145,6915
0	6145,7425,7937
0	6147,6401
0	6145,6147,6401
0	6147,6401
0	6147,6401,6915
0	6145,6147,6401
0	6145,6915
0	6147,6401,6915
0	6915
0	6145,6147,6401
0	6147,6401
0	6915
0	6145,6147,6401
0	6147,6401,6915,7425,7937
0	6915
0	6915
0	6145,6147,6401
0	6145,7425,7937
0	6145,7425,7937
0	6147,6401,7425,7937
0	6145,6147,6401
0	6147,6401
0	6915
0	6145,6915
0	6147,6401
0	6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915
0	6145,6915,7425,7937
0	6147,6401,6915
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,6915,7425,7937
0	7425,7937
0	
0	
0	6145,6147,6401,6915
0	7425,7937
0	7425,7937
0	7425,7937
0	6145
0	6145,6147,6401,7425,7937
0	6145,6147,6401,7425,7937
0	7425,7937
0	6147,6401,6915,7425,7937
0	6147,6401,7425,7937
0	6147,6401,6915,7425,7937
0	6145,7425,7937
0	6147,6401,6915
0	6147,6401,6915
0	6145
0	6147,6401,6915,7425,7937
0	6147,6401
0	6915
0	6145,7425,7937
0	6145,6147,6401,7425,7937
0	6145,7425,7937
0	6147,6401
0	6145,7425,7937
0	6145
0	6915
0	7425,7937
0	6147,6401,6915,7425,7937
0	6145,6147,6401,6915,7425,7937
0	6915,7425,7937
0	6915
